,Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos,PJ
82,Alejandro Balde,es ESP,DF,20-148,18.0,15,1378.0,15.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.2,1.4,73.0,41.0,141.0,0.0,0.07,0.07,0.0,0.07,0.01,0.08,0.09,0.01,0.09,Partidos,
83,Lamine Yamal,es ESP,DL,16-245,27.0,14,1477.0,16.4,4.0,3.0,7.0,4.0,0.0,0.0,2.0,0.0,4.3,4.3,4.6,8.9,83.0,56.0,204.0,0.24,0.18,0.43,0.24,0.43,0.26,0.28,0.54,0.26,0.54,Partidos,
84,Pedri,es ESP,"CC,DL",21-110,16.0,13,1091.0,12.1,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,2.1,2.1,3.8,5.9,35.0,93.0,56.0,0.16,0.16,0.33,0.16,0.33,0.18,0.31,0.49,0.18,0.49,Partidos,
85,Raphinha,br BRA,"DL,CC",27-091,20.0,11,906.0,10.1,4.0,6.0,10.0,4.0,0.0,0.0,2.0,1.0,5.4,5.4,4.5,10.0,38.0,45.0,129.0,0.4,0.6,0.99,0.4,0.99,0.54,0.45,0.99,0.54,0.99,Partidos,
86,Gavi,es ESP,"CC,DL",19-222,12.0,10,944.0,10.5,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.9,0.9,1.1,2.0,26.0,39.0,38.0,0.1,0.1,0.19,0.1,0.19,0.09,0.1,0.19,0.09,0.19,Partidos,
87,Ferrán Torres,es ESP,DL,24-014,21.0,10,936.0,10.4,7.0,2.0,9.0,7.0,0.0,0.0,2.0,0.0,5.2,5.2,2.2,7.4,24.0,34.0,89.0,0.67,0.19,0.87,0.67,0.87,0.5,0.21,0.71,0.5,0.71,Partidos,
88,Iñaki Peña,es ESP,PO,25-012,10.0,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,
89,Oriol Romeu,es ESP,CC,32-172,21.0,10,756.0,8.4,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,1.3,2.0,8.0,56.0,3.0,0.0,0.12,0.12,0.0,0.12,0.08,0.15,0.23,0.08,0.23,Partidos,
90,Iñigo Martínez,es ESP,DF,32-302,13.0,8,792.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.0,0.2,17.0,49.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Partidos,
91,Pau Cubarsí,es ESP,DF,17-052,9.0,8,732.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,
