,Jugador,País,Posc,Edad,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Partidos
91,Samuel Lino,br BRA,DF,24-082,15.7,920.0,27.0,208.0,345.0,387.0,65.0,920.0,51.0,26.0,51.0,20.0,39.2,615.0,4429.0,2650.0,94.0,59.0,29.0,29.0,26.0,665.0,156.0,Partidos
92,Nahuel Molina,ar ARG,DF,25-343,16.5,1220.0,36.0,312.0,522.0,393.0,31.0,1220.0,25.0,12.0,48.0,13.0,52.0,694.0,2670.0,1447.0,37.0,33.0,6.0,29.0,13.0,803.0,133.0,Partidos
93,Stefan Savić,me MNE,DF,33-066,13.1,842.0,105.0,418.0,401.0,26.0,6.0,842.0,6.0,6.0,100.0,0.0,0.0,481.0,2469.0,1547.0,13.0,4.0,0.0,3.0,0.0,549.0,2.0,Partidos
94,Saúl Ñíguez,es ESP,CC,29-114,13.5,845.0,63.0,229.0,437.0,183.0,30.0,845.0,15.0,8.0,53.3,5.0,33.3,392.0,1873.0,855.0,19.0,16.0,1.0,25.0,14.0,542.0,41.0,Partidos
95,Pablo Barrios,es ESP,CC,20-273,12.6,817.0,26.0,185.0,480.0,164.0,9.0,817.0,39.0,31.0,79.5,7.0,17.9,491.0,2988.0,1386.0,34.0,28.0,3.0,30.0,17.0,581.0,34.0,Partidos
96,Rodrigo Riquelme,es ESP,"DF,CC",23-347,11.7,650.0,11.0,118.0,210.0,330.0,68.0,650.0,49.0,19.0,38.8,30.0,61.2,427.0,3112.0,1729.0,69.0,40.0,25.0,32.0,12.0,448.0,119.0,Partidos
97,César Azpilicueta,es ESP,DF,34-199,10.6,825.0,64.0,267.0,432.0,131.0,8.0,825.0,4.0,1.0,25.0,3.0,75.0,455.0,2403.0,1543.0,25.0,18.0,3.0,7.0,5.0,524.0,29.0,Partidos
98,José María Giménez,uy URU,DF,29-054,8.7,492.0,89.0,276.0,208.0,12.0,6.0,492.0,3.0,2.0,66.7,1.0,33.3,269.0,1214.0,596.0,1.0,0.0,0.0,2.0,0.0,299.0,1.0,Partidos
99,Memphis,nl NED,DL,30-030,8.1,335.0,1.0,18.0,151.0,172.0,53.0,335.0,27.0,13.0,48.1,11.0,40.7,192.0,917.0,430.0,14.0,9.0,7.0,33.0,16.0,267.0,69.0,Partidos
100,Ángel Correa,ar ARG,"DL,CC",29-005,9.8,444.0,2.0,31.0,172.0,245.0,74.0,443.0,39.0,20.0,51.3,18.0,46.2,312.0,1407.0,640.0,21.0,11.0,14.0,31.0,21.0,339.0,85.0,Partidos
101,Reinildo Mandava,mz MOZ,DF,30-053,4.6,312.0,20.0,123.0,156.0,35.0,4.0,312.0,8.0,4.0,50.0,4.0,50.0,147.0,731.0,427.0,9.0,9.0,1.0,7.0,0.0,172.0,7.0,Partidos
102,Gabriel Paulista,br BRA,DF,33-109,4.0,283.0,42.0,177.0,104.0,3.0,3.0,283.0,0.0,0.0,,0.0,,164.0,940.0,442.0,1.0,0.0,0.0,0.0,1.0,187.0,0.0,Partidos
103,Yannick Carrasco,be BEL,DF,30-192,2.5,113.0,5.0,29.0,38.0,49.0,6.0,113.0,6.0,5.0,83.3,1.0,16.7,66.0,450.0,246.0,9.0,5.0,2.0,5.0,3.0,63.0,17.0,Partidos
104,Thomas Lemar,fr FRA,CC,28-123,1.8,99.0,0.0,8.0,58.0,34.0,4.0,99.0,2.0,1.0,50.0,1.0,50.0,78.0,447.0,217.0,5.0,4.0,0.0,3.0,2.0,83.0,9.0,Partidos
105,Çağlar Söyüncü,tr TUR,DF,27-296,1.3,97.0,5.0,47.0,48.0,3.0,1.0,97.0,1.0,1.0,100.0,0.0,0.0,65.0,337.0,150.0,2.0,2.0,1.0,0.0,2.0,65.0,0.0,Partidos
106,Arthur Vermeeren,be BEL,CC,19-036,0.9,73.0,3.0,16.0,48.0,11.0,0.0,73.0,1.0,0.0,0.0,1.0,100.0,44.0,214.0,97.0,2.0,0.0,0.0,2.0,0.0,49.0,4.0,Partidos
