,Jugador,País,Posc,Edad,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Partidos
124,Beñat Prados,es ESP,"CC,DF",23-035,9.8,0,0,0,21,17,0,4,11,16,0.0,0.0,0,69.0,15.0,18.0,45.5,Partidos
125,Ander Herrera,es ESP,CC,34-213,8.8,2,0,0,16,10,0,6,14,27,0.0,0.0,0,63.0,10.0,19.0,34.5,Partidos
126,Yeray Álvarez,es ESP,DF,29-050,7.2,1,0,0,10,6,0,1,9,7,0.0,0.0,0,39.0,29.0,6.0,82.9,Partidos
127,Dani García,es ESP,CC,33-295,5.8,4,0,0,7,5,0,0,6,5,0.0,0.0,0,28.0,3.0,7.0,30.0,Partidos
128,Unai Gómez,es ESP,CC,20-294,5.6,1,0,0,5,14,0,10,1,9,0.0,0.0,0,27.0,6.0,11.0,35.3,Partidos
129,Imanol,es ESP,DF,23-280,4.4,2,0,0,4,2,0,19,6,4,0.0,0.0,0,29.0,8.0,4.0,66.7,Partidos
130,Iker Muniain,es ESP,"CC,DL",31-086,4.4,1,0,0,5,7,0,26,0,0,0.0,0.0,0,21.0,1.0,9.0,10.0,Partidos
131,Asier Villalibre,es ESP,DL,26-166,3.8,0,0,0,7,9,3,2,0,1,0.0,0.0,0,10.0,16.0,15.0,51.6,Partidos
132,Adu Ares,es ESP,"DL,CC",22-154,1.7,2,0,0,3,8,1,9,1,4,0.0,0.0,0,9.0,0.0,2.0,0.0,Partidos
133,Raúl García,es ESP,"DL,CC",37-247,2.2,3,0,0,12,6,1,2,2,3,0.0,0.0,0,10.0,13.0,8.0,61.9,Partidos
134,Mikel Jauregizar,es ESP,CC,20-123,0.7,0,0,0,2,1,0,4,0,0,,,0,,,,,Partidos
135,Peru Nolaskoain,es ESP,"DF,CC",25-141,0.1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,1.0,2.0,0.0,100.0,Partidos
136,Total del equipo,,,28.0,28.0,63,3,2,395,324,62,633,206,280,4.0,1.0,2,1533.0,420.0,394.0,51.6,
137,Total del oponente,,,27.5,28.0,61,2,1,342,377,75,445,277,307,0.0,5.0,2,1556.0,397.0,421.0,48.5,
138,Álex Remiro,es ESP,PO,28-356,26.4,3,1,0,1,3,0,0,0,0,0.0,0.0,0,48.0,4.0,0.0,100.0,Partidos
139,Martín Zubimendi,es ESP,CC,25-041,25.7,3,0,0,31,20,0,3,33,23,0.0,0.0,0,147.0,37.0,25.0,59.7,Partidos
140,Igor Zubeldia,es ESP,DF,26-350,24.0,10,0,0,37,8,0,2,29,21,0.0,0.0,0,138.0,65.0,65.0,50.0,Partidos
141,Brais Méndez,es ESP,"CC,DL",27-067,22.0,6,0,0,47,45,3,93,8,23,1.0,0.0,0,101.0,22.0,32.0,40.7,Partidos
142,Robin Le Normand,es ESP,DF,27-124,20.5,9,0,0,23,16,1,1,24,19,0.0,1.0,1,82.0,84.0,49.0,63.2,Partidos
143,Hamari Traoré,ml MLI,DF,32-047,19.1,6,0,0,23,16,1,37,18,17,0.0,0.0,0,110.0,23.0,29.0,44.2,Partidos
144,Takefusa Kubo,jp JPN,"DL,CC",22-284,18.7,1,0,0,15,42,8,113,9,14,0.0,0.0,0,76.0,7.0,13.0,35.0,Partidos
145,Mikel Merino,es ESP,CC,27-266,18.6,7,0,0,51,44,5,14,9,24,0.0,1.0,0,139.0,115.0,75.0,60.5,Partidos
146,Mikel Oyarzabal,es ESP,"DL,CC",26-328,16.1,2,0,0,13,13,13,9,4,14,0.0,0.0,0,50.0,21.0,35.0,37.5,Partidos
147,Ander Barrenetxea,es ESP,"DL,CC",22-078,11.0,1,0,0,17,16,2,35,5,12,0.0,0.0,0,62.0,11.0,19.0,36.7,Partidos
148,Beñat Turrientes,es ESP,CC,22-043,11.9,3,0,0,27,25,0,12,3,13,0.0,0.0,0,52.0,13.0,28.0,31.7,Partidos
149,Umar Sadiq,ng NGA,DL,27-041,11.7,4,0,0,44,19,27,12,0,9,0.0,0.0,0,34.0,29.0,49.0,37.2,Partidos
150,Aihen Muñoz,es ESP,DF,26-211,12.5,2,0,0,17,8,0,29,9,21,0.0,0.0,0,66.0,23.0,17.0,57.5,Partidos
151,Kieran Tierney,sct SCO,DF,26-283,10.2,1,0,0,5,7,0,21,10,19,0.0,0.0,0,41.0,12.0,15.0,44.4,Partidos
152,Arsen Zakharyan,ru RUS,"CC,DL",20-293,8.6,1,0,0,13,8,2,50,1,12,0.0,0.0,0,35.0,10.0,15.0,40.0,Partidos
153,Jon Pacheco,es ESP,DF,23-066,10.2,5,0,0,21,1,0,1,5,7,0.0,0.0,0,26.0,38.0,23.0,62.3,Partidos
154,André Silva,pt POR,DL,28-129,5.8,1,0,0,9,5,4,0,1,2,0.0,0.0,0,18.0,10.0,13.0,43.5,Partidos
155,Javi Galán,es ESP,DF,29-116,5.6,1,0,0,10,8,2,35,9,12,0.0,1.0,0,31.0,4.0,2.0,66.7,Partidos
156,Carlos Fernández,es ESP,DL,27-297,4.5,3,0,0,15,3,2,1,0,7,0.0,1.0,0,18.0,16.0,17.0,48.5,Partidos
157,Aritz Elustondo,es ESP,DF,29-352,5.5,1,0,0,5,8,0,1,5,4,0.0,0.0,0,25.0,17.0,9.0,65.4,Partidos
158,Jon Aramburu,ve VEN,DF,21-235,4.8,1,0,0,8,5,0,6,5,9,0.0,0.0,0,17.0,5.0,7.0,41.7,Partidos
159,Álvaro Odriozola,es ESP,DF,28-091,1.2,0,0,0,0,0,1,5,4,0,0.0,0.0,0,2.0,0.0,1.0,0.0,Partidos
160,Olasagasti,es ESP,CC,23-211,3.5,2,0,0,6,7,1,1,3,12,0.0,0.0,0,34.0,6.0,9.0,40.0,Partidos
161,Urko González,es ESP,CC,22-360,1.7,1,0,0,1,2,0,0,0,1,0.0,0.0,0,13.0,5.0,4.0,55.6,Partidos
162,Mohamed Ali Cho,fr FRA,"DL,CC",20-055,2.8,0,0,0,5,6,3,11,1,3,0.0,0.0,0,16.0,3.0,6.0,33.3,Partidos
163,Unai Marrero,es ESP,PO,22-157,1.6,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3.0,0.0,0.0,,Partidos
164,Sheraldo Becker,sr SUR,"CC,DL",29-034,1.6,0,0,0,1,0,1,13,0,0,0.0,0.0,0,9.0,1.0,4.0,20.0,Partidos
165,Jon Magunacelaya,es ESP,"DL,CC",23-245,1.3,0,0,0,2,3,0,3,0,3,0.0,0.0,0,7.0,1.0,4.0,20.0,Partidos
166,Alex Sola,es ESP,"DF,CC",24-279,0.3,0,0,0,2,2,0,0,1,0,0.0,0.0,0,2.0,2.0,0.0,100.0,Partidos
167,Alberto Dadie,es ESP,CC,21-238,0.3,0,0,0,4,0,0,1,0,1,0.0,0.0,0,2.0,0.0,0.0,,Partidos
168,Total del equipo,,,26.4,28.0,74,1,0,453,340,76,509,196,302,1.0,4.0,1,1404.0,584.0,565.0,50.8,
169,Total del oponente,,,28.1,28.0,78,5,2,359,426,63,422,213,282,3.0,4.0,2,1277.0,564.0,582.0,49.2,
170,Germán Pezzella,ar ARG,DF,32-261,25.1,5,0,0,19,10,6,2,27,20,0.0,0.0,0,127.0,69.0,35.0,66.3,Partidos
171,Isco,es ESP,CC,31-328,20.5,7,0,0,24,62,3,131,8,19,0.0,0.0,0,97.0,11.0,31.0,26.2,Partidos
172,Marc Roca,es ESP,CC,27-109,20.2,5,0,0,46,23,0,21,16,34,0.0,0.0,0,140.0,8.0,20.0,28.6,Partidos
173,Rui Silva,pt POR,PO,30-036,18.5,3,0,0,2,4,0,0,1,0,0.0,2.0,1,29.0,4.0,2.0,66.7,Partidos
